0x90e8, 0xa003
0xca99, 0xa013
0xb7b2, 0x9251
0x9008, 0xab45
0xa4ca, 0xd5e2
0x95d8, 0x6529
0xd3e1, 0x6ead
0x64be, 0x649b
0x2441, 0xea61
0xb859, 0x6bc
0xe617, 0x2645
0x2791, 0xdbb
0xc2a3, 0xc04e
0x2b30, 0xba53
0x582c, 0x1bbd
0xfb9a, 0x7b5d
0xc798, 0x7072
0x59c0, 0xeab7
0x2f18, 0x41a5
0x75cf, 0x4577
0xed37, 0xecb8
0x15b8, 0x961a
0xb46a, 0xc91
0x7c16, 0xab06
0x1937, 0x8f83
0xf44f, 0x4165
0x5516, 0x88d9
0x47b5, 0x6a9a
0xa677, 0xab75
0x4da1, 0x1d16
0x8f85, 0x742f
0xeb3a, 0x8eaf
0xfe84, 0x2e7b
0xe839, 0xe85f
0xa8a0, 0xf676
0x62fb, 0xc267
0x2d2f, 0xf267
0x506e, 0xd70e
0x7270, 0xed36
0xb5e7, 0x3d59
0x5122, 0xede8
0x3526, 0xfe35
0xa1ab, 0x7dbe
0xeb02, 0x740a
0xfd33, 0xad9b
0xc788, 0xbc5f
0x1f80, 0x550b
0x5b87, 0x6774
0x1181, 0x60e2
0x3914, 0x3894
0xe7d, 0x6e28
0xb811, 0x58f9
0x6866, 0xa686
0x24c, 0xb067
0x5e6d, 0x2741
0x7cb6, 0x4be1
0xa089, 0x5f3b
0x8628, 0x96c2
0x8e4b, 0x9b2c
0x9553, 0x6e86
0x7160, 0x7a4e
0xc2e3, 0xc7e3
0x6a6a, 0x6784
0xafd8, 0x33d8
0x952b, 0x957e
0x807f, 0x18d2
0x5b0f, 0xb85
0xd44, 0xf8b4
0x4a40, 0x805
0x3ce4, 0x2c2b
0xb3d6, 0xabbd
0x3495, 0xeacd
0xbc9d, 0x305a
0xe1e1, 0xe18c
0xc043, 0xf902
0x1e85, 0x9516
0x9727, 0x9225
0x7dbc, 0x75fd
0x7378, 0x437d
0x1f42, 0xbe85
0x7b73, 0x2d4f
0xa4d6, 0x77fc
0x59d8, 0x6390
0x526b, 0x7659
0xc66a, 0xf5ad
0x9f93, 0x8f44
0xa0ac, 0x365f
0xabe4, 0xd979
0x4698, 0x771b
0x9f7d, 0xafd7
0x2a2, 0xaea3
0x6c3b, 0x38b3
0x6502, 0x8f79
0x82f8, 0xb1ad
0xec98, 0xf38
0x132f, 0xa8b3
0x3f8b, 0x1fee
0x9a67, 0xdcf7
0x4252, 0x4232
0x4f43, 0xa70a
0xd5fe, 0xdd7b
0x7acf, 0x6bc0
0xd59c, 0xb5b1
0xc82c, 0x8f76
0x3c3f, 0x79f0
0x3182, 0xa118
0x1ca6, 0x9c59
0x754b, 0xa563
0x954f, 0x74b8
0xe5c4, 0x53c6
0xf714, 0xc2b0
0xc785, 0xdbeb
0xa449, 0xfb9f
0x71a6, 0xfc34
0x190a, 0x6867
0x756f, 0xff65
0x5918, 0xe99f
0x5faa, 0x5f18
0xb261, 0x3b04
0xd3a2, 0x331a
0x3303, 0x5338
0x7752, 0x7232
0xacc8, 0xd0c8
0x498f, 0x79e9
0x6921, 0xf52
0xf96f, 0x993a
0x6bbd, 0xc38
0xe59b, 0xde7b
0x14d9, 0x2df7
0x2691, 0x21be
0xa78c, 0xb4b9
0x1bc6, 0x9599
0x563c, 0x5fce
0xc75e, 0xee5f
0xc588, 0x30c8
0x1a20, 0x958e
0xc672, 0x8643
0x3ca, 0xc4cb
0xdfc5, 0xb4d5
0x963, 0x4452
0xcf64, 0xe053
0x2334, 0xc5e9
0x5fb, 0x731
0x9d53, 0xc39b
0x302f, 0xc820
0x530c, 0x5125
0xd816, 0xfe11
0x84bf, 0xc46d
0x390e, 0xdad3
0x2321, 0xf569
0x7a40, 0x7bca
0x103e, 0xa9c8
0xa780, 0xcfa2
0xb3c7, 0xfe93
0xaefa, 0x28a3
0xd70a, 0xd176
0x3c44, 0xf574
0xe33f, 0x749c
0xadf3, 0xa695
0x3ac3, 0xfc39
0xec6d, 0x4306
0xaaaf, 0xfbb9
0xb97e, 0x19c0
0xd493, 0xfc82
0x92eb, 0xc28e
0x11b5, 0x3888
0x58fe, 0xad2b
0xecf0, 0x47a7
0xfaf5, 0x8870
0xa05c, 0xa031
0x59d3, 0x139a
0xba20, 0xb19e
0x2612, 0xb613
0x9b93, 0x3c82
0x2643, 0x4259
0xada3, 0x2313
0xce02, 0xfa0a
0x2871, 0x58c6
0x363b, 0x5bb3
0x7ad9, 0x6a76
0xb95d, 0x136
0x9b6f, 0xc817
0x3153, 0xcbbb
0x7f35, 0x7f57
0x1e05, 0xdedf
0x8fed, 0x8ded
0x433f, 0xfde7
0x7f94, 0x9f6b
0xbce, 0x585f
0x4e5f, 0xce39
0x70d0, 0x4430
0xe42, 0x7e03
0xc53b, 0x39a8
0xe8c1, 0x3db9
0xf1af, 0x2415
0x51f9, 0x67
0x2c5d, 0x2cba
0xf914, 0xce4f
0x15a3, 0x95c2
0x64e, 0x6e6b
0xa59c, 0xad05
0xf090, 0xc3b2
0xaefe, 0xc1f2
0xc4ac, 0x6c2b
0x8231, 0xa59
0xd593, 0xb090
0xccb6, 0x772c
0x4d6b, 0xe3bf
0xcdbc, 0x9fbc
0x2c7e, 0xdb6e
0x652b, 0x4e9e
0x568a, 0x5bea
0x34c8, 0xa63e
0xe40e, 0xe4db
0x4594, 0x5def
0xbfd, 0x25bd
0xa249, 0x2642
0x64ec, 0x1b3d
0x92c6, 0x92fa
0xfcfa, 0x19c2
0x1984, 0x7078
0x6bc2, 0xc8e0
0x7f11, 0xa541
0x18ab, 0x9f97
0x6094, 0xc01e
0x25d0, 0xc50e
0x38c9, 0xf333
0x6a9, 0x619
0x8a5f, 0xea66
0xe028, 0xd9aa
0xe9a6, 0xe784
0xac8b, 0x591c
0xa2f5, 0x3bad
0x1db6, 0xb403
0x5a09, 0x3a5c
0xfd81, 0x2ee2
0x993, 0xab0
0xc327, 0x5d2e
0xb0f0, 0x373e
0xd90a, 0xb85d
0x585b, 0x583e
0xb047, 0xb2fc
0xd2d7, 0xd205
0x56a9, 0x866f
0xae7b, 0xef7d
0xfd63, 0x8fef
0x20aa, 0x6af3
0xaa03, 0x7198
0xd62c, 0xb671
0x63bf, 0x51cf
0x2fd5, 0xe7be
0x5862, 0x5ea2
0x8e52, 0x4b52
0x337, 0x871
0xbce0, 0xdff
0x90d6, 0xa067
0x1a8b, 0xb8f6
0x8039, 0x84df
0x85ae, 0x2a67
0xe688, 0x5edc
0x389e, 0xd5b3
0x5ba8, 0x17f0
0xe54a, 0x8fb3
0x2c7, 0x7f7
0x2de8, 0x5474
0x812e, 0xc4d1
0xc37, 0x4068
0xe631, 0x9626
0xb934, 0x64e9
0xdb9d, 0x38f1
0x2693, 0x1bda
0x3490, 0xe951
0x5d1a, 0x6da8
0x9406, 0xc479
0x6311, 0x34c
0x5ec2, 0x9e83
0xd363, 0xbfa0
0xd494, 0x1ab
0x5479, 0x7b43
0xcaac, 0xcab0
0xb495, 0x8de3
0x82e4, 0xc101
0x6f30, 0xdcde
0x7950, 0x28c9
0xa421, 0xff47
0x4a89, 0xaef
0xd39b, 0xd59e
0xd419, 0x84cc
0xaf44, 0xf5a4
0xa906, 0xa0cc
0x2307, 0x25d7
0xa65d, 0xfc2c
0xd7e1, 0xf746
0xdac, 0x5287
0xca6, 0x66
0xf5ba, 0x679f
0x9547, 0x9515
0xd209, 0xd672
0x75ed, 0x45d6
0x1b47, 0x54be
0x7ad2, 0x82a0
0x29fa, 0x2afa
0x5c4c, 0x1d94
0xd6f2, 0x398a
0xf1f0, 0x573b
0x8b5b, 0x3dc7
0x6e5f, 0x9e12
0x8247, 0xff18
0x2332, 0xefc6
0x209, 0x1e2
0x5fb5, 0x541c
0x7639, 0x7793
0xdd73, 0x8072
0xd6e8, 0xcb3c
0x6db0, 0xcd4d
0x25f0, 0x2e4d
0x6139, 0xd2a3
0xd34a, 0xcf19
0xcc02, 0x350a
0xd9b3, 0xd8b3
0xefa, 0x8d55
0x8dac, 0xf731
0xe8a7, 0x7d6f
0x5775, 0xfe0c
0x6253, 0x6750
0x6ef1, 0x1756
0xbc2a, 0x7902
0xf7f0, 0x1088
0x692e, 0x97b
0xfffd, 0x6f2b
0xa0d4, 0x50fb
0xd27, 0x85
0xcf11, 0x85a4
0xd82d, 0x22fe
0xaf6b, 0x40a0
0x497f, 0xf927
0x520, 0x375
0x4d4, 0x3d88
0x8fbd, 0x6a00
0xa109, 0x4095
0x12c5, 0x4616
0xcb50, 0xc6bb
0x63ec, 0xa0c1
0x8216, 0x8281
0x53b6, 0x198b
0x1795, 0x4410
0xbc73, 0x7a9f
0xb265, 0x315
0x347b, 0x8c2e
0x67c5, 0xd6c1
0xf158, 0x8ac7
0x5191, 0xa163
0xedb2, 0x7b59
0x9e0c, 0xad26
0x7816, 0x42dd
0xd104, 0x3e43
0x4150, 0xfca2
0x5f75, 0x9f0d
0x739e, 0x4f53
0x5ca0, 0x9c34
0x2af9, 0x29f9
0xe251, 0x8fd6
0xcc70, 0xc0fb
0x3505, 0x9d1b
0x4e20, 0x7cf5
0x91e8, 0xa6a5
0x40e9, 0xa25c
0x1dca, 0x91f4
0x83c0, 0xe325
0x9856, 0xd38a
0x60c8, 0xe2bc
0xa3c6, 0x43b1
0x83af, 0xf21a
0xf8a, 0x6edd
0xb13a, 0x156f
0xd0c0, 0xd128
0x3a70, 0x39fb
0xe2d4, 0xddd6
0x542f, 0xab6b
0x47b3, 0x927f
0x2d7d, 0xed28
0xce38, 0x39e8
0xf48c, 0xf6c7
0xb883, 0x5a4
0x238e, 0xb3c1
0xf8fd, 0xefe8
0xc441, 0xe00a
0xed50, 0x6575
0xdf9d, 0xb938
0x7577, 0xec53
0x35c9, 0xb8ea
0xa3f6, 0x2354
0xb1ab, 0x40bf
0xe874, 0xbf37
0x38f, 0x2f52
0x5a4e, 0xc41e
0xd7f0, 0x3e5e
0x8792, 0x276e
0x5059, 0xb0d1
0x965f, 0xc639
0x72b1, 0x1c5c
0x826f, 0x52a9
0x43f1, 0x851b
0xf8a0, 0xf626
0xb7a7, 0x487c
0x5e7d, 0x8e28
0x6b4e, 0xa024
0xfc13, 0x1d4c
0xcb0, 0x809b
0x3268, 0x12ad
0x557, 0xbfc
0x43cb, 0xfa15
0xf514, 0x8c14
0x1c4e, 0xa21b
0x423c, 0x475c
0x7f16, 0x67c1
0x3364, 0xa83a
0x3e8f, 0x1b40
0x497a, 0x690f
0xb41e, 0xbe5b
0x9923, 0xf00f
0x7114, 0xa220
0xb72e, 0xb22e
0x68c7, 0x704a
0x3da1, 0x7dd6
0xdc4f, 0xd1fc
0xa897, 0x439f
0xdb18, 0xbd91
0x5461, 0xb3af
0x2686, 0x864
0x1c97, 0x16ed
0xecae, 0x9b9
0xae0d, 0xfed8
0x1d9, 0x966c
0xbe89, 0x2b93
0x99c4, 0xeab8
0xc397, 0xeaf5
0xb254, 0x7de9
0xf218, 0x1282
0xc9b5, 0xcf8
0xd4ce, 0x3170
0x9aa5, 0x359f
0x1723, 0x33e3
0x9f8b, 0x6d9a
0x95ca, 0xf5ef
0x8c5f, 0xacaa
0x16e9, 0xe804
0x68af, 0x5961
0x34ce, 0x5223
0x96cd, 0xe3f3
0x16c, 0x81a1
0xb04d, 0xb4f8
0x2339, 0xcb5c
0x6bc0, 0x7acf
0xd0d, 0xdd8
0x57ae, 0x1be9
0xb2e2, 0xb6b2
0xa617, 0xe686
0x5e4c, 0xeed6
0x9952, 0x3aa3
0xd65d, 0x8e0
0xedb4, 0x10a
0x1c3, 0xb2ef
0xf477, 0xcc25
0xa71a, 0x87bf
0x9e73, 0xae02
0x2bd8, 0x2608
0x2355, 0x209a
0xe30a, 0x32de
0x35d1, 0x330c
0xfa1c, 0xaded
0xeb2f, 0xf7b4
0x7dac, 0x1f46
0xa727, 0xf253
0xdb08, 0x57b5
0x7c18, 0xba8
0x472d, 0xb9e1
0x2684, 0xe706
0x9fb0, 0x5dc7
0xa17b, 0x95c
0xaf74, 0x6fab
0xf51e, 0x4313
0x6f70, 0xcfc5
0xd7fc, 0xb7fc
0xa497, 0x7b4f
0x8b86, 0x8dcf
0x3b99, 0x9e7c
0x1104, 0xbeae
0xa8e1, 0xf846
0x4651, 0x4b51
0xa560, 0xf363
0x6fe8, 0x6f8d
0x8b34, 0x20f6
0x3c4a, 0x9c9f
0x50f0, 0xb9f0
0xdecd, 0xa743
0x5dac, 0xa0c
0xc365, 0x9a0e
0x4337, 0x7ad3
0x72dc, 0x8d38
0xdb07, 0x60ac
0xa6d8, 0x1086
0xb202, 0x5103
0xd103, 0xf202
0xea14, 0x2912
0xb716, 0xb496
0xbadc, 0xda21
0x4623, 0x77f
0x9298, 0x926f
0x4950, 0x4a30
0xe298, 0x2137
0x2670, 0xcbfb
0x7d98, 0x7dbd
0xb0b0, 0x3e9e
0x6707, 0x6d41
0x5101, 0xc2e4
0x490a, 0x1678
0xa9f5, 0xee20
0xe951, 0x3490
0x43eb, 0x5372
0xb922, 0x85d7
0xcc7, 0xd881
0xf59, 0xc126
0x3f38, 0x6fd3
0xbdcd, 0xddf8
0x4def, 0x7e92
0xf166, 0x52fa
0xdabb, 0x1abe
0x4d86, 0x5638
0xc946, 0x106e
0xf8cf, 0xb37b
0x176c, 0xbde8
0x62a2, 0xeb12
0xe1d4, 0xe472
0x7dcb, 0xad23
0x8ec3, 0xee44
0x4acf, 0x4230
0x246e, 0x34b4
0xfd97, 0xa67e
0x239f, 0xeaac
0x446b, 0x4970
0x4232, 0x4252
0xf73f, 0x2a85
0xb705, 0xd707
0xeb54, 0xe860
0x2a3a, 0xe1f4
0xd769, 0xd272
0x4127, 0x7d1e
0x94fe, 0x87a8
0x5b0f, 0xb85
0xa5b1, 0x1d9c
0x1dc6, 0x1dfa
0x4c39, 0x4b06
0x138e, 0x85a7
0xfbdb, 0x8b1c
0x98a5, 0x14c
0x20a3, 0xa6ca
0xd282, 0xe2c3
0x277e, 0xe0cb
0x65d0, 0x51bd
0xe987, 0xa80a
0xaff5, 0xffc7
0x5324, 0x4d0b
0x70e2, 0x47c0
0x940d, 0x9ba4
0xfe51, 0x6fa1
0x67ff, 0x3b00
0x2751, 0x423b
0x6fb1, 0xa3f8
0xfa2f, 0xaac5
0xeb5e, 0x9cf0
0x7dc6, 0xede9
0x1846, 0xa62b
0xcf57, 0xc758
0x9ae7, 0xca85
0x2272, 0xe2d0
0xb11e, 0xba5b
0x8694, 0xd095
0xc14c, 0xc464
0x6325, 0xc330
0xa7fd, 0xa4c5
0xeaa4, 0xe162
0x7adf, 0x692a
0xd8e7, 0xbb28
0x450c, 0x1152
0x7077, 0x7c77
0x330c, 0x35d1
0xc4ea, 0xc1ea
0x7bf1, 0x4bf1
0x48b4, 0x3dd1
0xc03, 0x8e
0xed71, 0xbe37
0x41b4, 0x7784
0xc4b2, 0x3443
0xbf20, 0xd72a
0xb2bb, 0xe6fd
0xea96, 0xfa17
0xf23f, 0xf497
0xc951, 0x59d9
0x7582, 0x73e2
0x9b89, 0x32c4
0xe8a3, 0xeb60
0xbe70, 0xa825
0x766f, 0x46ea
0x69be, 0x699b
0x5179, 0xd02
0x9b9a, 0xb19
0x6d4f, 0xdf38
0x63c8, 0x9571
0xd41a, 0x620a
0x7751, 0x9bc5
0xe54d, 0x34b0
0x4f36, 0xf255
0xeb6f, 0xd3a7
0xa680, 0xd000
0xdf4e, 0xd36b
0x7e71, 0xd65
0xe791, 0xc8
0xda93, 0x39be
0xecd2, 0xd228
0x1d89, 0xcd1b
0xe165, 0xce0
0x7017, 0xdeda
0xd683, 0xdbe3
0x1c0a, 0x8e90
0xd57b, 0xe2f9
0xf9e0, 0xb38
0x3932, 0x3954
0xfc51, 0x6f41
0x2b36, 0x68f2
0xdcfd, 0xb20e
0x3d1c, 0x3344
0x2437, 0xf983
0xa1d5, 0xb2c4
0x77da, 0x7682
0xb11, 0xbe65
0x6a51, 0x6f68
0xed64, 0x55c3
0x6cbd, 0xc98
0xa1d6, 0x72fc
0x8506, 0x8990
0x9a03, 0xc5fc
0xc682, 0xcced
0x4cea, 0x4c8a
0xf62, 0xf5cf
0xc51a, 0x6636
0x4aa3, 0xf9a0
0x5c77, 0x5c25
0x1343, 0xd535
0x1db3, 0x2451
0xfc92, 0x3e03
0x746e, 0x4413
0xd505, 0x35ef
0x4c21, 0xf0f2
0x6e91, 0x997d
0x3022, 0x35d2
0xb35a, 0x3199
0x6dfd, 0xdae6
0xc5d7, 0x81a9
0x9224, 0x3220
0x5aac, 0x5a61
0xa307, 0xa507
0x66e5, 0x5222
0xd814, 0x98bb
0x53c4, 0x730b
0x7b0, 0xaf5e
0x4900, 0x2a22
0xd30d, 0x4961
0xd7a8, 0xa2a8
0xf463, 0x8491
0x1a5a, 0xd5b8
0x59ea, 0x5353
0x270, 0x100
0x21dc, 0x2101
0x568d, 0xa4e1
0xf2f5, 0xf7f5
0x31ff, 0x905e
0xdbca, 0x7fa2
0x278a, 0x27e6
0x17fe, 0x37cb
0xf4b7, 0xbacd
0xae0f, 0x9ee1
0x9685, 0x765c
0xfb68, 0xf6a8
0xc58e, 0xaeb
0xcdb4, 0x752e
0xc0c0, 0x2c2e
0xd3b3, 0x189b
0x99b9, 0xf896
0xabcf, 0xff75
0xcf1a, 0xc069
0xda28, 0x6aca
0x126, 0x9131
0xbe50, 0xdd33
0xac9a, 0xaa44
0xb0cb, 0x5a5a
0xd90b, 0x5336
0x93b5, 0xe320
0xb608, 0x85b
0x51c9, 0xc618
0x3ee, 0xbd80
0xc5fd, 0xa0f7
0xf66d, 0x4af2
0x98ff, 0x38af
0x7db, 0x60eb
0x4322, 0x6695
0xd1a5, 0x594c
0x6bd6, 0x17eb
0x29d0, 0x298e
0xcd23, 0xccf2
0xea3, 0x7fee
0xe7e7, 0xe785
0x274b, 0x3c
0x66e5, 0x5222
0x2ed3, 0xe22
0xfd51, 0xf28d
0x5feb, 0x9757
0x1c4, 0x20a0
0x39fe, 0xe380
0xf5ac, 0x9302
0x1dc5, 0xab51
0x1441, 0xde9
0xe6ec, 0x8d03
0x6c79, 0x3c1c
0xbaf7, 0xa31f
0x5096, 0x336c
0xaf09, 0xef5c
0xe091, 0x80fa
0x82c, 0x8c8
0x99a1, 0x5fe5
0x642c, 0xba29
0xd6c, 0x8da1
0xee3b, 0xb8a1
0xe6ff, 0x5648
0x5567, 0x5735
0x7506, 0xb0e5
0x5f64, 0x5fa2
0xd53f, 0x3d0f
0xcb78, 0xf5d1
0xa4aa, 0xf46a
0x7916, 0x39dc
0xe2b5, 0x2297
0x545b, 0x338c
0xafba, 0x5f1f
0xfc42, 0x9c90
0xd339, 0xdf5f
0x900d, 0x9477
0x601f, 0xaf4d
0x92c3, 0xc22b
0x43c, 0xb1d9
0xa5b5, 0x71bb
0xb56, 0x103a
0xeb6, 0x70b
0x6aec, 0xe83d
0x464d, 0xcafc
0x91b2, 0x3af3
0x1188, 0x11ed
0x241f, 0xb72f
0x7a6b, 0x82f3
0x5cd5, 0xa732
0xc0c4, 0xe09d
0xfc29, 0xaf97
0xb17f, 0xb696
0xf16e, 0xfd90
0x11a, 0xe136
0xe382, 0x155e
0xa528, 0x9dca
0xf9f1, 0xfaf1
0x6849, 0xb21
0x4949, 0x29ba
0x6d08, 0xca0c
0x61bf, 0xe146
0xb03f, 0xe759
0x6c88, 0x7cdf
0x4813, 0xfe1e
0xd55e, 0xb020
0xebdc, 0xc158
0x9f47, 0xf399
0x880c, 0x7468
0x675e, 0xe2f0
0xc7b6, 0x2765
0x3fb, 0x5c19
0x2492, 0x916c
0x868f, 0xfd0c
0x2158, 0xa103
0x5153, 0xcb8a
0x8eed, 0xc282
0xcb4d, 0x544c
0x68d3, 0x88b8
0x49d0, 0xcab8
0xadbb, 0xb82f
0xd064, 0xb88
0x9ac3, 0x61e4
0x95f5, 0x914
0xc639, 0x965f
0x189b, 0xd3b3
0x2ad8, 0x2a0d
0x3972, 0xf814
0x27c2, 0x2f73
0x1b61, 0xb793
0x57c0, 0x8ab4
0x1151, 0x610f
0xd33d, 0xab43
0xe9d0, 0x7972
0x258f, 0xb96f
0x4b8, 0x6998
0x8855, 0x9947
0x7bbc, 0x1ccc
0x6e20, 0x582e
0xb0e6, 0xb08a
0x4c1, 0xcd90
0xc166, 0x537f
0x7dca, 0x7ffa
0xd9f7, 0x5cd
0x47fc, 0x90ce
0x6d56, 0xc765
0x5987, 0xaa87
0x9665, 0xe86f
0xb5a, 0xe3
0xa3c8, 0x3efb
0x9d1a, 0x9c69
0x39f9, 0x3e59
0x6757, 0x757
0xbfb, 0x8670
0xae3a, 0x5d40
0xaa3f, 0xa409
0xaeb4, 0x6221
0xc22b, 0x92c3
0xe5cd, 0x4399
0x31bf, 0xe53d
0xf1a7, 0xabd4
0x1928, 0x84f6
0xbf7f, 0xd7da
0xd0b6, 0xa636
0xc947, 0x3012
0x9ccb, 0x4071
0xf2a4, 0x3bf0
0xcd52, 0x3d9c
0x362e, 0x437f
0x48da, 0x1811
0x4bd2, 0x445a
0x19e8, 0xe47e
0x90c2, 0x9274
0x1cbe, 0x309e
0x7e70, 0xe3cd
0xad07, 0x14c4
0x399a, 0x355d
0x22b8, 0xe08e
0x9f5c, 0x84
0x8be2, 0x86e2
0xa632, 0x89
0x8160, 0x84bc
0xa918, 0xf918
0x73c2, 0x4fda
0xb14a, 0x26a
0xd773, 0x2bf
0x8591, 0xadf6
0x2f56, 0xbdaf
0x6e94, 0x8c71
0x64b6, 0xdd38
0x4056, 0x33a5
0x6d4b, 0x6510
0x244a, 0xa721
0x12a1, 0xadc1
0x695, 0x834e
0x62df, 0x927a
0xa4cf, 0x9c27
0x595e, 0x51c3
0x9b7d, 0x4fe9
0x88fe, 0x4088
0x2cc, 0xb9b9
0xd232, 0xd752
0x1b33, 0xab08
0x4b5b, 0xab5b
0x4ea4, 0x2bff
0x7a1b, 0x7154
0xf25a, 0x618c
0xafc7, 0x6a82
0x3e79, 0xf5b3
0xef8c, 0xed8c
0x6874, 0x2448
0xee03, 0x6e72
0x5a2d, 0x5a78
0x9334, 0x731b
0x2793, 0x6914
0x2c09, 0x2cd9
0xa078, 0xd904
0xfb4f, 0x5c5f
0xbf8c, 0x76e8
0x6795, 0x7b7
0xc79e, 0xbe73
0xcd6b, 0x124
0x5677, 0xe864
0x40ff, 0x4ccf
0xfb36, 0x5a6d
0x9882, 0x2f66
0x66a0, 0x49ce
0x290b, 0x2b37
0x4775, 0x7777
0x34e7, 0x343f
0x963d, 0xc658
0x4c72, 0x4a0a
0xa27b, 0xd9bf
0x9b73, 0x6203
0x1e66, 0x9e4c
0xff8b, 0x4cf4
0xd4e6, 0x66cc
0x15cb, 0x15b5
0xc757, 0x3137
0xfe28, 0x7cfa
0xa8f9, 0x13f3
0xc327, 0x5d2e
0xb42, 0x6106
0x54cf, 0xfb05
0x8f74, 0x75e0
0x4202, 0x273
0xaf1b, 0xafa3
0xff91, 0xcf63
0x9880, 0x6fd1
0x8d83, 0xbf15
0x1501, 0x13d1
0x2464, 0x908a
0x9e59, 0x4bc3
0xafdf, 0x9f7a
0xab3a, 0xbcb6
0x7f77, 0x4f75
0xb8c7, 0x4a7b
0xa47b, 0x8be7
0x415, 0xeb75
0xdd5, 0x387
0x520b, 0x3f41
0x6f1b, 0x73fc
0x5e4a, 0x13d2
0xc242, 0x21d6
0xd506, 0xbc6e
0x2f0d, 0x95da
0xdad, 0xf413
0x9139, 0x535e
0x9870, 0x9447
0x27cc, 0x6abd
0x2500, 0x930e
0x158e, 0xe297
0x1327, 0x5630
0x1b6f, 0x380e
0x906, 0x59dd
0xbb4b, 0x701b
0xb0dc, 0xbba1
0x4fa5, 0xea9
0x1ad8, 0x3a0d
0x6f62, 0x3cf
0x442e, 0x6ae3
0x5c42, 0xa542
0x69ce, 0xe9ec
0x171a, 0xc7bf
0xa387, 0xfa3b
0xe714, 0xefc5
0x446c, 0x2b68
0xa555, 0x80c5
0x1ef4, 0xf58a
0x65ce, 0x9514
0x6863, 0xba0
0xbb09, 0xedbf
0x5484, 0x5c85
0xb331, 0xb868
0x9a34, 0x9932
0x7fb7, 0x7db7
0x8806, 0xc2dc
0xc623, 0x7a06
0x7314, 0xf6e
0x53b4, 0x89c1
0x228c, 0xf7df
0x5780, 0xece1
0x3ea, 0x5ea
0x82b7, 0xf718
0xaf41, 0xd13
0x52de, 0x8a6d
0xde9f, 0xac12
0xe825, 0xa845
0x2c49, 0x8703
0x6445, 0x8025
0x7eb1, 0xae9
0x61d8, 0x55b
0x43af, 0x7369
0x11fb, 0x36f8
0xfffe, 0x929d
0xc6e5, 0xcbe5
0x6e5, 0x8bd9
0x2856, 0x88c8
0x6993, 0x306
0x7095, 0xc626
0x62c2, 0x6689
0xb779, 0x24a9
0x26be, 0x24ae
0xde78, 0x1efa
0xf59d, 0x726d
0x611a, 0x483a
0xd2dd, 0x303e
0xaf6f, 0xa565
0x658a, 0xdedb
0x3b4a, 0x9629
0x409c, 0xdc52
0x1e2b, 0xa262
0xeac, 0x460b
0xceff, 0x3eaa
0x9af7, 0x52c8
0x56f9, 0x78a9
0x9165, 0x719a
0x814b, 0xf460
0x836, 0x76e1
0x659b, 0x558a
0x147f, 0xb69
0xc9b2, 0x6aab
0x7a93, 0x4a90
0x71b2, 0x6143
0xcf69, 0x5cc7
0xe643, 0xfd02
0xd319, 0xd737
